OSD-id	hits	public_release_date	public_release_date_year	technology_platform	technology_type	measurement_type	OrganismCount	Organism	Factors
OSD-355	1	16-Nov-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Study Subject;Time;Altered Gravity
OSD-356	1	01-Jan-2019	2019	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Vibrio fischeri	Genotype;Microgravity Simulation;Time
OSD-359	1	27-Sep-2019	2019	timsTOF Pro	mass spectrometry	protein expression profiling	1	Homo sapiens	Spaceflight;Time
OSD-360	1	07-Apr-2022	2022	Xevo G2 QTOF(Waters)	mass spectrometry	metabolite profiling	1	Mus musculus	Ionizing Radiation;Absorbed Radiation Dose;Particle Charge;HZE;Time of Sample Collection After Treatment
OSD-361	1	14-Apr-2021	2021	Illumina	nucleotide sequencing	genome sequencing	14	Acinetobacter pittii;Bacillus horneckiae;Kocuria indica;Kocuria palustris;Methylobacterium organophilum;Micrococcus luteus;Pseudoclavibacter alba;Pseudomonas fulva;Pseudomonas granadensis;Staphylococcus capitis;Staphylococcus caprae;Staphylococcus epidermidis;Staphylococcus saprophyticus;Staphylococcus warneri	Spaceflight;Strain
OSD-362	1	06-Oct-2017	2017	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Aspergillus fumigatus	Strain;Treatment
OSD-363	2	12-Mar-2021	2021	QuantStudio 12K Flex	real time PCR	transcription profiling	1	Homo sapiens	Intracranial Pressure
OSD-363	2	12-Mar-2021	2021	QuantStudio 12K Flex	real time PCR	transcription profiling	1	Homo sapiens	Intracranial Pressure
OSD-364	2	12-Mar-2021	2021	QuantStudio 12K Flex	real time PCR	transcription profiling	1	Homo sapiens	Intracranial Pressure
OSD-364	2	12-Mar-2021	2021	QuantStudio 12K Flex	real time PCR	transcription profiling	1	Homo sapiens	Intracranial Pressure
OSD-366	1	19-Aug-2021	2021	MegaMUGA	SNP analysis	Genome-wide Association Study	1	Mus musculus	Strain;Ionizing Radiation;Particle Charge;HZE;Absorbed Radiation Dose;Time of Sample Collection After Treatment
OSD-367	1	30-Aug-2011	2011	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	ionizing radiation;Radiation Distance
OSD-368	1	30-Aug-2011	2011	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Time of Sample Collection After Treatment
OSD-369	1	30-Aug-2011	2011	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation
OSD-370	1	21-Sep-2010	2010	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Bed Rest;Time;Treatment
OSD-372	1	15-Nov-2021	2021	Illumina	nucleotide sequencing	genome sequencing	9	Burkholderia cepacia;Burkholderia contaminans;Ralstonia insidiosa;Ralstonia pickettii;Staphylococcus aureus;Staphylococcus auricularis;Staphylococcus epidermidis;Staphylococcus lugdunensis;Staphylococcus saprophyticus	Spaceflight;Collection Date;Sample Location
OSD-373	1	22-Dec-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Danio rerio	Microgravity Simulation;Treatment
OSD-374	2	28-Apr-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Ionizing Radiation
OSD-374	2	28-Apr-2022	2022	Illumina	DIP-seq	DNA methylation profiling	1	Mus musculus	Ionizing Radiation
OSD-375	1	20-May-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Brachypodium distachyon	Spaceflight;Accession;Organism Part
OSD-379	1	26-May-2021	2021	Illumina NovaSeq	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Age;Duration;Euthanasia Location;Dissection Condition
OSD-383	1	01-Apr-2022	2022	Oxford Nanopore Technologies	nucleotide sequencing	genome sequencing	1	Bacillus pumilus SAFR-032	Spaceflight
OSD-385	1	28-Apr-2023	2023	Illumina	16S	Amplicon Sequencing	1	Microbiota	Treatment;Seed Sanitization;Tissue
OSD-386	1	27-Jun-2023	2023	Illumina	16S	Amplicon Sequencing	1	Microbiota	Treatment;Seed Sanitization;Organism Part
OSD-391	1	15-Dec-2021	2021	Illumina	nucleotide sequencing	genome sequencing	18	Alkalihalobacillus clausii;Alkalihalobacillus gibsonii;Bacillus altitudinis;Bacillus glycinifermentans;Bacillus haynesii;Bacillus licheniformis;Bacillus paralicheniformis;Bacillus pumilus;Bacillus safensis;Bacillus subtilis;Brevibacillus parabrevis;Brevibacterium luteolum;Cytobacillus oceanisediminis;Micrococcus luteus;Oceanobacillus caeni;Priestia megaterium;Staphylococcus saprophyticus;Virgibacillus pantothenticus	Sample Location
OSD-396	1	08-Jul-2021	2021	Agilent	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight;Treatment
OSD-397	2	30-Jun-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-397	2	30-Jun-2021	2021	Illumina	Bisulfite sequencing	DNA methylation profiling	1	Mus musculus	Spaceflight
OSD-400	1	27-Jul-2021	2021	Illumina	nucleotide sequencing	genome sequencing	11	Aspergillus unguis;Aureobasidium pullulans;Cladosporium cladosporioides;Cladosporium sphaerospermum;Fusarium annulatum;Fusarium veterinarium;Penicillium citrinum;Penicillium corylophilum;Penicillium palitans;Penicillium rubens;Rhodotorula mucilaginosa	Spaceflight;Strain
OSD-401	1	25-Jun-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Tissue
OSD-402	1	12-Aug-2021	2021	Illumina NovaSeq 6000	single-cell RNA Sequencing	transcription profiling	1	Mus musculus	Spaceflight;Age
OSD-403	1	12-Aug-2021	2021	Illumina NovaSeq 6000	single-cell RNA Sequencing	transcription profiling	1	Mus musculus	Spaceflight;Age
OSD-404	1	12-Aug-2021	2021	Illumina NovaSeq 6000	single-cell RNA Sequencing	transcription profiling	1	Mus musculus	Spaceflight;Age
OSD-405	1	12-Aug-2021	2021	Illumina NovaSeq 6000	single-cell RNA Sequencing	transcription profiling	1	Mus musculus	Spaceflight;Age
OSD-406	1	01-Apr-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Spacecraft;Altered Gravity;Ecotype;Genotype
OSD-410	1	01-Dec-2017	2017	Affymetrix	DNA microarray	transcription profiling	1	Homo sapiens	Time of Sample Collection after Treatment;Ionizing Radiation;Absorbed Radiation Dose
OSD-411	1	20-Apr-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Genotype;Organism Part;Treatment
OSD-415	1	13-Oct-2020	2020	Agilent	DNA microarray	transcription profiling	1	Rattus norvegicus	Hindlimb Unloading
OSD-416	1	13-Aug-2021	2021	Illumina	Bisulfite sequencing	DNA methylation profiling	1	Arabidopsis thaliana	Spaceflight;Genotype;Organism Part
OSD-417	4	19-Apr-2023	2023	Illumina HiSeq2500	16S	Amplicon Sequencing	2	Microbiota;Mus musculus	Spaceflight;Time;Euthanasia Location
OSD-417	4	19-Apr-2023	2023	Illumina MiSeq	16S	Amplicon Sequencing	2	Microbiota;Mus musculus	Spaceflight;Time;Euthanasia Location
OSD-417	4	19-Apr-2023	2023	Illumina NovaSeq 6000	Whole-Genome Shotgun Sequencing	Metagenomic sequencing	2	Microbiota;Mus musculus	Spaceflight;Time;Euthanasia Location
OSD-417	4	19-Apr-2023	2023	SCIEX QTRAP 6500 Triple Quadrupole LC-MS/MS	mass spectrometry	metabolite profiling	2	Microbiota;Mus musculus	Spaceflight;Time;Euthanasia Location
OSD-418	1	16-Dec-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Rattus norvegicus	Partial Weight Bearing
OSD-419	1	16-Dec-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-420	1	10-Dec-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-421	1	10-Dec-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-422	1	03-Feb-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Rattus norvegicus	Spaceflight
OSD-423	1	10-Feb-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Rattus norvegicus	Spaceflight
OSD-425	1	31-Aug-2021	2021	Agilent	DNA microarray	transcription profiling	1	Caenorhabditis elegans	Spaceflight;Genotype;Generation;Altered Gravity
OSD-426	2	08-Sep-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Altered Gravity;Treatment
OSD-426	2	08-Sep-2021	2021	Illumina	miRNA Sequencing	transcription profiling	1	Mus musculus	Spaceflight;Altered Gravity;Treatment
OSD-427	1	13-Aug-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Genotype;Organism part
OSD-428	1	01-Apr-2021	2021	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Altered Gravity;Time
OSD-430	1	18-Oct-2018	2018	Affymetrix	DNA microarray	transcription profiling	1	Rattus norvegicus	Spaceflight;Treatment
OSD-431	1	22-Dec-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Spaceflight;Altered Gravity
OSD-432	1	15-Oct-2015	2015	Agilent	DNA microarray	transcription profiling	1	Mus musculus	Ionizing Radiation;Genotype;Treatment
OSD-434	1	01-Apr-2021	2021	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Altered Gravity;Time
OSD-435	2	24-May-2023	2023	Vevo 2100	Ultrasonography	Echocardiogram	1	Mus musculus	Ionizing Radiation;absorbed radiation dose;Time
OSD-435	2	24-May-2023	2023	Vevo 2100	Ultrasonography	Echocardiogram	1	Mus musculus	Ionizing Radiation;absorbed radiation dose;Time
OSD-436	1	01-Apr-2021	2021	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Altered Gravity;Time
OSD-437	1	06-Oct-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Age;Altered Gravity;Spaceflight
OSD-450	1	03-Apr-2021	2021	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Altered Gravity;Time
OSD-452	1	09-Jul-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Escherichia coli	Treatment
OSD-455	1	19-Nov-2019	2019	Agilent	DNA microarray	transcription profiling	1	Mus musculus	Time of Sample Collection after Treatment;Absorbed Radiation Dose;Ionizing Radiation
OSD-457	1	02-Oct-2020	2020	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Tissue;Genotype
OSD-462	5	08-Mar-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-462	5	08-Mar-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-462	5	08-Mar-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-462	5	08-Mar-2022	2022	Orbitrap Fusion Lumos	mass spectrometry	protein expression profiling	1	Mus musculus	Spaceflight
OSD-462	5	08-Mar-2022	2022	Orbitrap Eclipse	mass spectrometry	phosphoprotein profiling	1	Mus musculus	Spaceflight
OSD-463	1	15-Mar-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Ionizing Radiation
OSD-464	1	18-Mar-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Ionizing Radiation
OSD-465	1	01-Apr-2022	2022	Illumina	Whole-Genome Shotgun Sequencing	Metagenomic sequencing	1	Microbiota	Spaceflight
OSD-466	1	01-Apr-2022	2022	Illumina	Whole-Genome Shotgun Sequencing	Metagenomic sequencing	1	Microbiota	Spaceflight;Genotype
OSD-467	1	21-Oct-2021	2021	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Hindlimb Unloading
OSD-469	1	05-Jan-2022	2022	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Genotype;Light Cycle
OSD-470	1	17-Mar-2022	2022	Oxford Nanopore Technologies	nucleotide sequencing	genome sequencing	1	Klebsiella quasipneumoniae subsp. similipneumoniae	Spaceflight
OSD-471	1	03-Mar-2023	2023	mCT 50, Scanco Medical	Micro-Computed Tomography	Bone Microstructure	1	Mus musculus	Spaceflight
OSD-476	2	16-May-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Treatment
OSD-476	2	16-May-2022	2022	ImageJ	Image analysis	Morphometric analysis	1	Arabidopsis thaliana	Treatment
OSD-477	3	22-May-2023	2023	Instron 8511 MTS (Instron)	Bone biomechanical measurement	Bone biomechanical measurement	1	Rattus norvegicus	Partial Weight Bearing;Time
OSD-477	3	22-May-2023	2023	μCT40 (Scanco Medical AG)	Micro-Computed Tomography	Bone Microstructure	1	Rattus norvegicus	Partial Weight Bearing;Time
OSD-477	3	22-May-2023	2023	OsteoMeasure software (Osteometrics)	Histomorphometry	Histological Assay	1	Rattus norvegicus	Partial Weight Bearing;Time
OSD-478	1	10-Apr-2023	2023	DigiGait System (Mouse Specifics)	Gait	Behavior	1	Mus musculus	Spaceflight;Time
OSD-480	1	21-Apr-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Organism Part;Altered Gravity;Genotype;Spaceflight;Treatment
OSD-481	1	18-Jan-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Spaceflight;Time
OSD-483	1	12-Jan-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Spaceflight;Time
OSD-484	1	12-Mar-2022	2022	Affymetrix	DNA microarray	transcription profiling	1	Homo sapiens	Treatment
OSD-485	1	09-Jul-2019	2019	Agilent	DNA microarray	transcription profiling	1	Euglena gracilis	Altered Gravity;Parabola;Time
OSD-486	1	22-May-2023	2023	Skyscan 1076 micro-computed tomography scanner (Kontich, Belgium)	Micro-Computed Tomography	Bone Microstructure	1	Mus musculus	Spaceflight
OSD-487	1	05-Dec-2022	2022	Illumina	16S	Amplicon Sequencing	1	Microbiota	Spaceflight;Sample Condition
OSD-488	2	20-Jan-2023	2023	Molecular Devices M2 plate reader	Spectrofluorimetric Assay	Calcium Uptake	1	Mus musculus	Spaceflight;Tissue;Space Mission
OSD-488	2	20-Jan-2023	2023	Immobilon ECL Ultra Western HRP Substrate	Western Blot	protein quantification	1	Mus musculus	Spaceflight;Tissue;Space Mission
OSD-489	1	13-Feb-2023	2023	Bruker SkyScan	Micro-Computed Tomography	Bone Microstructure	1	Mus musculus	Spaceflight
OSD-490	1	13-Apr-2023	2023	Kinder Scientific	Elevated Plus Maze	Behavior	1	Rattus rattus	Age;Ionizing Radiation;absorbed radiation dose
OSD-496	1	15-Nov-2018	2018	Illumina	ChIP-seq	protein-DNA binding site identification	1	Arabidopsis thaliana	Genotype;antibody;Ionizing Radiation;Time of Sample Collection After Treatment
OSD-497	1	26-May-2022	2022	Illumina	nucleotide sequencing	genome sequencing	36	Acremonium citrinum;Alternaria angustiovoidea;Aspergillus calidoustus;Aspergillus costaricaensis;Aspergillus pseudoglaucus;Aspergillus quadricinctus;Aureobasidium lini;Aureobasidium melanogenum;Barbatosphaeria neglecta;Botryosphaeria agaves;Cladosporium austrohemisphaericum;Cladosporium colombiae;Cladosporium endophytica;Cystobasidium benthicum;Exophiala oligosperma;fungal sp.;Fusarium nygamai;Gamszarea kalimantanensis;Ganoderma meredithae;Neocatenulostroma microsporum;Neophaeococcomyces aloes;Penicillium brevicompactum;Penicillium caseifulvum;Penicillium decumbens;Penicillium fuscoglaucum;Penicillium sumatraense;Phaeophleospora eucalypticola;Phialocephala fluminis;Pseudopyrenochaeta terrestris;Roussoella neopustulans;Septoriella neoarundinis;Talaromyces liani;Talaromyces ruber;Trichoderma citrinoviride;Xylona heveae;Zalaria obscura	Strain
OSD-498	1	05-Nov-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Time of Sample Collection after Treatment;Ionizing Radiation
OSD-502	1	15-Nov-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Genotype;Ionizing Radiation
OSD-505	1	21-Jul-2022	2022	Orbitrap Fusion	mass spectrometry	protein expression profiling	1	Rattus norvegicus	Ionizing Radiation
OSD-506	1	03-Aug-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Ionizing Radiation
OSD-508	1	15-Nov-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Ionizing Radiation;Time of Sample Collection After Treatment;Genotype
OSD-510	1	15-Nov-2018	2018	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Ionizing Radiation;Time of Sample Collection After Treatment;Genotype
OSD-511	1	03-Aug-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Age
OSD-512	1	03-Aug-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Ionizing Radiation
OSD-513	1	18-Oct-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-514	2	08-Sep-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Drosophila melanogaster	Sex;Spaceflight;Altered Gravity
OSD-514	2	08-Sep-2022	2022	Orbitrap Fusion	mass spectrometry	protein expression profiling	1	Drosophila melanogaster	Sex;Spaceflight;Altered Gravity
OSD-515	1	18-Oct-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-519	1	25-Mar-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Genotype;Organism Part;Treatment;Time
OSD-520	1	31-Jan-2021	2021	Illumina	Bisulfite sequencing	DNA methylation profiling	1	Arabidopsis thaliana	Generation;Ionizing Radiation
OSD-524	1	28-Sep-2022	2022	Illumina	Bisulfite sequencing	DNA methylation profiling	1	Danio rerio	Ionizing Radiation;Generation
OSD-525	1	18-Oct-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-528	1	17-Jan-2023	2023	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mycobacterium marinum	Microgravity Simulation
OSD-530	2	01-Dec-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Spaceflight;Time
OSD-530	2	01-Dec-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Spaceflight;Time
OSD-531	1	12-Jun-2014	2014	Agilent	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Treatment;Time;Tissue segment
OSD-532	1	30-Nov-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Altered Gravity
OSD-536	1	10-Aug-2022	2022	nCounter MAX	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight
OSD-539	1	30-Sep-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Sex;Treatment
OSD-540	1	27-Sep-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Hindlimb Unloading
OSD-542	1	08-Oct-2022	2022	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Time
OSD-545	1	06-Sep-2019	2019	Affymetrix	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Microgravity Simulation
OSD-546	1	31-Jan-2019	2019	Affymetrix	DNA microarray	transcription profiling	1	Homo sapiens	Spaceflight;Treatment
OSD-547	1	02-Feb-2015	2015	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Altered Gravity
OSD-548	1	18-Jan-2019	2019	Agilent	DNA microarray	transcription profiling	1	Mus musculus	Hindlimb Unloading
OSD-554	1	24-Aug-2023	2023	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Pseudomonas aeruginosa	Growth Environment;Time;Spaceflight
OSD-557	3	30-May-2023	2023	SkyScan 1272 desktop micro-CT system	Micro-Computed Tomography	Bone Microstructure	1	Mus musculus	Spaceflight
OSD-557	3	30-May-2023	2023	BZ-X710	Microscopy	Molecular Cellular Imaging	1	Mus musculus	Spaceflight
OSD-557	3	30-May-2023	2023	BZ-X710 All-in-One inverted fluorescence microscope	imaging	histology	1	Mus musculus	Spaceflight
OSD-561	1	15-Dec-2022	2022	Illumina	spatial transcriptomics	transcription profiling	1	Mus musculus	Spaceflight;Euthanasia Location;Age
OSD-562	1	15-Dec-2022	2022	Illumina	spatial transcriptomics	transcription profiling	1	Mus musculus	Spaceflight;Euthanasia Location;Age
OSD-563	1	15-Dec-2022	2022	Illumina	spatial transcriptomics	transcription profiling	1	Mus musculus	Spaceflight
OSD-564	1	15-Dec-2022	2022	Illumina	spatial transcriptomics	transcription profiling	1	Mus musculus	Spaceflight
OSD-565	1	04-Oct-2022	2022	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Treatment;Organism Part;Microgravity Simulation
OSD-568	3	30-May-2023	2023	BZ-X710 Keyance	Microscopy	Molecular Cellular Imaging	1	Mus musculus	Spaceflight
OSD-568	3	30-May-2023	2023	BZ-X700 Keyence Corp (1)	Microscopy	Molecular Cellular Imaging	1	Mus musculus	Spaceflight
OSD-568	3	30-May-2023	2023	bz-x700 keyence corp (2)	Microscopy	Molecular Cellular Imaging	1	Mus musculus	Spaceflight
OSD-576	1	20-Jan-2023	2023	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-577	1	19-Jan-2023	2023	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Ionizing Radiation;Treatment;Tissue Model
OSD-580	1	27-Feb-2023	2023	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Age;Euthanasia Location
OSD-581	1	07-Nov-2022	2022	TripleTOF 6600	mass spectrometry	protein expression profiling	1	Lolium multiflorum	soil environment exposure;Organism Part
OSD-582	1	27-Feb-2023	2023	Oxford Nanopore Technologies	nucleotide sequencing	genome sequencing	2	Pseudomonas fulva;Staphylococcus saprophyticus	Spaceflight
OSD-583	1	27-Jan-2023	2023	TonoLab-ICARE	Tonometry	Intraocular Pressure	1	Mus musculus	Spaceflight
OSD-591	3	30-May-2023	2023	AlphaImager Gel Imaging System, Protein Simple	Western Blot	protein quantification	1	Mus musculus	Ionizing Radiation;absorbed radiation dose;Time
OSD-591	3	30-May-2023	2023	Axioskop Microscope (Carl Zeiss)	Microscopy	Molecular Cellular Imaging	1	Mus musculus	Ionizing Radiation;absorbed radiation dose;Time
OSD-591	3	30-May-2023	2023	ImageScope 12 (Leica Biosystems)	Microscopy	Molecular Cellular Imaging	1	Mus musculus	Ionizing Radiation;absorbed radiation dose;Time
OSD-592	1	12-Jun-2023	2023	Zeiss LSM 880	Immunohistochemistry	Molecular Cellular Imaging	1	Drosophila melanogaster	Altered Gravity;Sex;Spaceflight
OSD-594	1	14-Aug-2023	2023	Oxford Nanopore Technologies	Whole-Genome Shotgun Sequencing	Metagenomic sequencing	1	Microbiota	Organism Part;Treatment
OSD-595	1	25-May-2023	2023	Multi-use Variable Gravity Drosophila hardware (UI-1491LE camera)	Video Recording	Behavior	1	Drosophila melanogaster	Altered Gravity;Spaceflight
OSD-596	1	25-May-2023	2023	Manual Counting	Locomotory Behavior	Behavior	1	Drosophila melanogaster	Altered Gravity;Spaceflight;Sex
OSD-608	1	17-May-2023	2023	XCT Research SA+(Stratec)	Peripheral Quantitative Computed Tomography	Bone Microstructure	1	Rattus norvegicus	Partial Weight Bearing;Time
OSD-612	2	01-Aug-2023	2023	Illumina	single-cell RNA sequencing	transcription profiling	1	Mus musculus	Spaceflight
OSD-612	2	01-Aug-2023	2023	Illumina	single-cell ATAC-seq	Chromatin Accessibility	1	Mus musculus	Spaceflight
OSD-613	2	01-Aug-2023	2023	Illumina	single-cell RNA sequencing	transcription profiling	1	Mus musculus	Spaceflight;Age
OSD-613	2	01-Aug-2023	2023	Illumina	single-cell ATAC-seq	Chromatin Accessibility	1	Mus musculus	Spaceflight;Age
OSD-618	6	29-August-2023	2023	Elevated Plus Maze	Elevated Plus Maze	Behavior	1	Mus musculus	Hindlimb Unloading;Ionizing Radiation;Sex;Housing Condition
OSD-618	6	29-August-2023	2023	Open Field	Open Field	Behavior	1	Mus musculus	Hindlimb Unloading;Ionizing Radiation;Sex;Housing Condition
OSD-618	6	29-August-2023	2023	Three Chamber Social Approach	Three Chamber Social Isolation	Behavior	1	Mus musculus	Hindlimb Unloading;Ionizing Radiation;Sex;Housing Condition
OSD-618	6	29-August-2023	2023	Novel Object Recognition	Novel Object Recognition	Behavior	1	Mus musculus	Hindlimb Unloading;Ionizing Radiation;Sex;Housing Condition
OSD-618	6	29-August-2023	2023	Radial Arm Water Maze	RAWM	Behavior	1	Mus musculus	Hindlimb Unloading;Ionizing Radiation;Sex;Housing Condition
OSD-618	6	29-August-2023	2023	Conduct Science (ME-BB-M01)	Balance	Behavior	1	Mus musculus	Hindlimb Unloading;Ionizing Radiation;Sex;Housing Condition
OSD-627	1	24-Aug-2023	2023	Nikon SIM A1 Laser scanning Confocal Microscope-inverted	Confocal	Molecular Cellular Imaging	1	Pseudomonas aeruginosa	Spaceflight;Growth Environment;Time
OSD-628	1	12-Sep-2023	2023	Nikon SIM A1 Laser scanning Confocal Microscope	Confocal	Molecular Cellular Imaging	1	Penicillium rubens	Spaceflight;Growth Environment;Time
OSD-640	1	24-Aug-2023	2023	FACS Canto2(Becton Dickinson)	Flow Cytometry	Flow Cytometry	1	Mus musculus	Hindlimb Unloading;Sex;Housing Condition;Ionizing Radiation
OSD-654	2	04-Oct-2023	2023	SkyScan 1176 V1 build 12	Micro-Computed Tomography	Bone Microstructure	1	Mus musculus	Spaceflight;Space Mission;Genotype
OSD-654	2	04-Oct-2023	2023	OsteoSys InSIGHT	Dual-Energy X-Ray Absorptiometry	Bone Microstructure	1	Mus musculus	Spaceflight;Space Mission;Genotype
OSD-660	1	26-Sep-2023	2023	BioRad ChemiDoc	Western Blot	protein quantification	1	Mus musculus	Spaceflight
